theoretical_quantile,sample_quantile,reference_line
-1.1249746290265639,-0.01222954167896121,-0.014211917024665009
-1.1235674830969042,-0.012185517104206399,-0.014194138518244725
-1.1221625583876589,-0.012178904848775936,-0.014176388075709331
-1.1207598451330216,-0.012177052584730117,-0.014158665573673299
-1.1193593336306198,-0.012157631994954905,-0.014140970889552544
-1.117961014240958,-0.012135585315983072,-0.014123303901557398
-1.116564877386867,-0.01212063860987615,-0.014105664488685662
-1.1151709135529553,-0.012118252788670406,-0.014088052530715644
-1.1137791132850703,-0.012069030706500134,-0.01407046790819939
-1.1123894671897645,-0.01206081158724349,-0.014052910502455912
-1.1110019659337658,-0.012014186985376984,-0.014035380195564506
-1.109616600243456,-0.011983157733466686,-0.01401787687035816
-1.108233360904355,-0.011980444141637892,-0.014000400410417049
-1.106852238760606,-0.011980361705778046,-0.013982950700062002
-1.1054732247144736,-0.011927402175433742,-0.013965527624348202
-1.1040963097258423,-0.011906757253326215,-0.013948131069058808
-1.1027214848117197,-0.011878586777107908,-0.01393076092069871
-1.101348741045749,-0.011851101279165471,-0.01391341706648835
-1.0999780695577288,-0.011844273173086091,-0.01389609939435767
-1.0986094615331239,-0.011842736201990792,-0.013878807792939913
-1.0972429082126003,-0.011840488023941966,-0.013861542151565768
-1.0958784008915528,-0.011822808660852786,-0.013844302360257387
-1.0945159309196417,-0.011813172241573798,-0.013827088309722539
-1.0931554897003342,-0.011798430280818657,-0.01380989989134881
-1.09179706869045,-0.011779261794712934,-0.013792736997197868
-1.0904406593997118,-0.011752942128503889,-0.013775599519999782
-1.0890862533903019,-0.011745047827280329,-0.013758487353147412
-1.087733842276421,-0.011744243562275925,-0.01374140039069085
-1.0863834177238532,-0.011741513030607232,-0.013724338527331915
-1.0850349714495375,-0.011686438954596057,-0.013707301658418733
