date,target,sp500_ret_l1,gold_ret_l1,oil_ret_l1,eur_usd_ret_l1,usd_chf_ret_l1,gdp_growth_l1,cpi_inflation_l1,rate_change_l1
2012-10-03,0.0063870154707179,0.0010386014435427,-0.0011324207426856,-0.0067379777405184,0.003945693873823555,-0.003632870754740479,0.0,0.0,0.0
2012-10-04,0.0034667086575374,0.0040747319751069,0.0017996579702661,-0.042329597166488,-0.003248262716877896,0.0042725978263500955,0.0,0.0,0.0
2012-10-05,-0.0053495392521456,0.0071423969589672,0.0069360430660972,0.0399752700048523,0.007101535055459434,-0.00705960788417176,0.0,0.0,0.0
2012-10-09,-0.0160877510707056,6.842987651069755e-05,-0.0057187574623456,-0.0175364874444474,0.004451273658238599,-0.0034408636099039647,0.0,0.0,0.0
2012-10-10,-0.0050559359806295,-0.0099365984563839,-0.0061800569829877,0.028488573502296,-0.014112437801708384,0.012417200863767444,0.0,0.0,0.0
2012-10-11,-0.0031430093971992,-0.0064004670983922,-0.0008776292872359,-0.0099971429494222,0.0009315324381114853,-0.0008514261902175128,0.0,0.0,0.0
2012-10-12,-0.0004498088388305,0.000558191474164,0.0028057067739044,0.0132102317368062,0.0030988559040663615,-0.004161115633326686,0.0,0.0,0.0
2012-10-15,0.0073216613961798,-0.0032838457457417,-0.0073818367895237,-0.0084932418586675,0.001391358344578812,-0.002033499924790037,0.0,0.0,0.0
2012-10-16,0.0140441365157144,0.008293597386822,-0.010106170350563,0.0,0.00030892802222833086,-0.0004286326683714024,0.0,0.0,0.0
2012-10-17,-0.0005873715293688,0.0100822620512395,0.0063356933963212,0.0039627262540821,0.006618972829768569,-0.006128063041163582,0.0,0.0,0.0
2012-10-18,-0.0116718470648919,0.0045245843967377,0.0007080481768546,-0.0010258665807723,0.0074133856277075255,-0.0060573468065617765,0.0,0.0,0.0
2012-10-19,-0.0242171720560538,-0.0026025629373938,-0.004438880563074,-0.0008801526165959,-0.0020580059857176623,0.0008675849150636822,0.0,0.0,0.0
2012-10-22,0.005163261280874,-0.0168047936513364,-0.0108358510563197,-0.0216593543502271,-0.006429905802634764,0.006590699671138989,0.0,0.0,0.0
2012-10-23,-0.0095883848518623,0.0001394700141732,0.0036466936242748,-0.0132852195513218,0.003143571689755887,-0.002479919325839511,0.0,0.0,0.0
2012-10-24,-0.0034621723692616,-0.0139734745650262,-0.0129380932702991,-0.0286746946995761,-0.007067710145890234,0.006992659336245964,0.0,0.0,0.0
2012-10-25,-6.138547007855717e-05,-0.0028324618852,-0.0034243073055876,-0.0106919257541926,-0.001929236235217526,0.0014997324717797823,0.0,0.0,0.0
2012-10-26,0.0029116563363865,0.002903170741514,0.0070098144176358,0.0047311237910124,0.0009264979044471214,-0.0006424670956614979,0.0,0.0,0.0
2012-10-31,-0.0061396969536223,-0.0005658108928091,-0.0005422503521932,0.0003146138141413,-0.0015446404059718262,0.001284521692356619,0.0,0.0,0.0
2012-11-01,0.0141093846789111,0.0,0.0054093171928861,-0.0003146138141412,0.0015446404059717973,-0.003965919770218659,0.0,0.0,0.0
2012-11-02,-0.0107278874512306,0.0104160277349377,-0.0045659436489206,0.008771986072837,-0.001621935092000653,0.0016097014797362681,0.0,-0.0016807561740777954,0.0
