theoretical_quantile_t,sample_quantile,reference_line
-1.5112094571847035,-1.3282846216933824,-1.2163245504963307
-1.508799721764595,-1.3265689453274205,-1.2143903029151146
-1.5063973557458068,-1.323938144497067,-1.2124619706084803
-1.5040023090368888,-1.3198709023572504,-1.210539513368998
-1.501614532046294,-1.319825526234254,-1.2086228913905015
-1.4992339756757735,-1.3197722707448603,-1.206712065262785
-1.4968605913138804,-1.3182990840598698,-1.2048069959663883
-1.4944943308295793,-1.3182645921775833,-1.2029076448674696
-1.4921351465659543,-1.3139355239487052,-1.2010139737127525
-1.4897829913340312,-1.3089287926180646,-1.1991259446245686
-1.4874378184066928,-1.307893189178115,-1.197243520095973
-1.485099581512685,-1.3057863001638799,-1.1953666629859336
-1.4827682348307367,-1.3034745620872974,-1.1934953365146102
-1.480443732983759,-1.3010203472667143,-1.1916295042586995
-1.478126031033142,-1.2991925178425832,-1.1897691301468567
-1.4758150844731477,-1.2985043151351559,-1.1879141784551945
-1.473510849225382,-1.298157739121725,-1.1860646138028463
-1.4712132816333625,-1.2975369873687073,-1.1842204011476065
-1.4689223384571684,-1.2941189063428509,-1.182381505781634
-1.4666379768681768,-1.293583533903859,-1.18054789332723
-1.464360154443878,-1.2929587687393147,-1.1787195297326736
-1.4620888291627767,-1.2891723746988528,-1.1768963812681308
-1.4598239593993676,-1.2877463768004755,-1.1750784145216213
-1.4575655039191935,-1.2869324605053556,-1.1732655963950511
-1.4553134218739783,-1.281480239474567,-1.1714578941003064
-1.453067672796833,-1.274009623030489,-1.1696552751554055
-1.4508282165975408,-1.2682479987207311,-1.1678577073807137
-1.4485950135579104,-1.2674236936307313,-1.1660651588952144
-1.4463680243272001,-1.2668909742356964,-1.1642775981128355
-1.4441472099176147,-1.263624556434906,-1.1624949937388345
-1.4419325316998723,-1.2604187666116373,-1.1607173147662413
-1.4397239513988274,-1.2550841178349688,-1.1589445304723434
-1.4375214310891782,-1.2517631542079093,-1.1571766104152417
-1.4353249331912232,-1.2513763667230162,-1.1554135244304433
-1.4331344204666885,-1.2497549425833712,-1.1536552426275126
-1.4309498560146188,-1.248631963443282,-1.1519017353867733
-1.4287712032673223,-1.2459312634812751,-1.150152973356053
-1.4265984259863882,-1.2449033864971062,-1.1484089274474862
-1.424431488258752,-1.2391041670223402,-1.146669568834358
-1.422270354492824,-1.2389073545239622,-1.1449348689479935
-1.4201149894146754,-1.233317505058061,-1.143204799474699
-1.4179653580642841,-1.2312482596761052,-1.1414793323527468
-1.415821425791822,-1.2284644770029562,-1.1397584397693967
-1.413683158254017,-1.228045851483477,-1.1380420941579745
-1.4115505214105486,-1.226398366875039,-1.1363302681949792
-1.4094234815205102,-1.2227825542134878,-1.1346229347972439
-1.4073020051389165,-1.2189297380572555,-1.1329200671191317
-1.4051860591132588,-1.218707736536965,-1.1312216385497713
-1.4030756105801188,-1.2161104863528494,-1.1295276227103381
-1.4009706269618218,-1.2101487084590237,-1.1278379934513687
-1.3988710759631455,-1.2074087009243961,-1.1261527248501184
-1.3967769255680695,-1.2035905319184346,-1.124471791207953
-1.3946881440365768,-1.2034324628628992,-1.1227951670477798
-1.392604699901497,-1.201188237889691,-1.121122827111516
-1.3905265619653955,-1.1994126222760508,-1.1194547463575897
-1.3884536992975087,-1.1976676475658388,-1.1177908999584807
-1.386386081230718,-1.1972696906130837,-1.1161312632982914
-1.3843236773585736,-1.1947239341609162,-1.1144758119703584
-1.3822664575323478,-1.194477672376196,-1.1128245217748862
-1.380214391858148,-1.1912264485080688,-1.111177368716631
-1.37816745069405,-1.1905749453931846,-1.109534329002599
-1.376125604647285,-1.188291524352186,-1.107895379039788
-1.374088824571463,-1.1863146072003659,-1.1062604954329605
-1.3720570815638282,-1.18627621280776,-1.1046296549824377
-1.3700303469625599,-1.183443214845698,-1.103002834681936
-1.3680085923441103,-1.1816987713412936,-1.1013800117164287
-1.3659917895205707,-1.1797164416990709,-1.0997611634600315
-1.363979910537084,-1.175011388631145,-1.0981462674739264
-1.361972927669287,-1.1740224656550553,-1.0965353015043082
-1.3599708134207869,-1.1731288585770923,-1.094928243480359
-1.357973540520675,-1.170869997556015,-1.0933250715122533
-1.3559810819210742,-1.169063627000328,-1.0917257638891877
-1.3539934107947165,-1.1690099725239262,-1.0901302990774377
-1.3520105005325553,-1.1688406161501461,-1.0885386557184416
-1.3500323247414097,-1.1587734337840776,-1.0869508126269076
-1.3480588572416408,-1.1573174027073008,-1.0853667487889513
-1.346090072064858,-1.154764851232523,-1.0837864433602522
-1.3441259434516566,-1.1514199646500098,-1.0822098756642389
-1.3421664458493845,-1.1495952104997795,-1.0806370251902964
-1.340211553909941,-1.1489667211075971,-1.0790678715919995
-1.3382612424876026,-1.144688150096813,-1.0775023946853661
-1.3363154866368756,-1.1385898221918562,-1.0759405744471358
-1.3343742616103833,-1.1335166422244998,-1.0743823910130725
-1.3324375428567745,-1.1317998936725822,-1.0728278246762857
-1.3305053060186613,-1.1289077513465082,-1.0712768558855754
-1.328577526930589,-1.126262593514165,-1.0697294652438034
-1.3266541816170219,-1.1215412593074656,-1.0681856335062747
-1.3247352462903634,-1.1210181792286895,-1.0666453415791501
-1.3228206973490033,-1.1183798063062251,-1.0651085705178778
